Total epochs: 0036, val_loss: 29.303, log_dir: checkpoints/SGD_with_regularization/2019-11-01_23:56:05, hparams: HyperParameters(batch_size=256, num_layers=1, dense_units=256, activation='tanh', optimizer='sgd', learning_rate=0.01, l1_reg=0.005, l2_reg=0.005, num_like_pages=5000, use_dropout=False, dropout_rate=0.1, use_batchnorm=False)
Total epochs: 0008, val_loss: 23.216, log_dir: checkpoints/SGD_with_regularization/2019-11-01_23:57:05, hparams: HyperParameters(batch_size=256, num_layers=1, dense_units=256, activation='tanh', optimizer='sgd', learning_rate=0.01, l1_reg=0.0, l2_reg=0.01, num_like_pages=5000, use_dropout=False, dropout_rate=0.1, use_batchnorm=True)
Total epochs: 0006, val_loss: 61.633, log_dir: checkpoints/SGD_with_regularization/2019-11-01_23:57:45, hparams: HyperParameters(batch_size=256, num_layers=1, dense_units=256, activation='tanh', optimizer='sgd', learning_rate=0.01, l1_reg=0.001, l2_reg=0.001, num_like_pages=5000, use_dropout=False, dropout_rate=0.1, use_batchnorm=False)
Total epochs: 0032, val_loss: 29.228, log_dir: checkpoints/SGD_with_regularization/2019-11-01_23:58:23, hparams: HyperParameters(batch_size=256, num_layers=3, dense_units=256, activation='tanh', optimizer='sgd', learning_rate=0.05, l1_reg=0.005, l2_reg=0.0, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=False)
Total epochs: 0050, val_loss: 27.063, log_dir: checkpoints/SGD_with_regularization/2019-11-01_23:59:21, hparams: HyperParameters(batch_size=256, num_layers=2, dense_units=64, activation='tanh', optimizer='sgd', learning_rate=0.005, l1_reg=0.005, l2_reg=0.0, num_like_pages=5000, use_dropout=False, dropout_rate=0.1, use_batchnorm=False)
Total epochs: 0008, val_loss: 15.855, log_dir: checkpoints/SGD_with_regularization/2019-11-02_00:00:31, hparams: HyperParameters(batch_size=256, num_layers=3, dense_units=128, activation='tanh', optimizer='sgd', learning_rate=0.01, l1_reg=0.0, l2_reg=0.005, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=True)
Total epochs: 0010, val_loss: 6.617, log_dir: checkpoints/SGD_with_regularization/2019-11-02_00:01:12, hparams: HyperParameters(batch_size=256, num_layers=3, dense_units=256, activation='tanh', optimizer='sgd', learning_rate=0.005, l1_reg=0.0, l2_reg=0.0, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=True)
Total epochs: 0050, val_loss: 21.687, log_dir: checkpoints/SGD_with_regularization/2019-11-02_00:01:56, hparams: HyperParameters(batch_size=256, num_layers=1, dense_units=128, activation='tanh', optimizer='sgd', learning_rate=0.005, l1_reg=0.01, l2_reg=0.0, num_like_pages=5000, use_dropout=False, dropout_rate=0.1, use_batchnorm=False)
Total epochs: -001, val_loss: inf, log_dir: checkpoints/SGD_with_regularization/2019-11-02_00:03:07, hparams: HyperParameters(batch_size=256, num_layers=1, dense_units=256, activation='tanh', optimizer='sgd', learning_rate=0.1, l1_reg=0.005, l2_reg=0.005, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=True)
Total epochs: 0013, val_loss: 170.211, log_dir: checkpoints/SGD_with_regularization/2019-11-02_00:03:44, hparams: HyperParameters(batch_size=256, num_layers=3, dense_units=128, activation='tanh', optimizer='sgd', learning_rate=0.01, l1_reg=0.005, l2_reg=0.01, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=True)
Total epochs: 0006, val_loss: 54.650, log_dir: checkpoints/SGD_with_regularization/2019-11-02_00:04:30, hparams: HyperParameters(batch_size=256, num_layers=2, dense_units=64, activation='tanh', optimizer='sgd', learning_rate=0.05, l1_reg=0.001, l2_reg=0.0, num_like_pages=5000, use_dropout=False, dropout_rate=0.1, use_batchnorm=True)
Total epochs: 0014, val_loss: 55.052, log_dir: checkpoints/SGD_with_regularization/2019-11-02_00:05:09, hparams: HyperParameters(batch_size=256, num_layers=3, dense_units=256, activation='tanh', optimizer='sgd', learning_rate=0.1, l1_reg=0.005, l2_reg=0.05, num_like_pages=5000, use_dropout=False, dropout_rate=0.1, use_batchnorm=False)
Total epochs: 0050, val_loss: 61.916, log_dir: checkpoints/SGD_with_regularization/2019-11-02_00:05:53, hparams: HyperParameters(batch_size=256, num_layers=2, dense_units=256, activation='tanh', optimizer='sgd', learning_rate=0.005, l1_reg=0.05, l2_reg=0.0, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=False)
Total epochs: 0022, val_loss: 141.949, log_dir: checkpoints/SGD_with_regularization/2019-11-02_00:07:04, hparams: HyperParameters(batch_size=256, num_layers=1, dense_units=64, activation='tanh', optimizer='sgd', learning_rate=0.005, l1_reg=0.005, l2_reg=0.01, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=True)
Total epochs: 0021, val_loss: 26.753, log_dir: checkpoints/SGD_with_regularization/2019-11-02_00:07:54, hparams: HyperParameters(batch_size=256, num_layers=1, dense_units=128, activation='tanh', optimizer='sgd', learning_rate=0.005, l1_reg=0.05, l2_reg=0.01, num_like_pages=5000, use_dropout=False, dropout_rate=0.1, use_batchnorm=True)
