Total epochs: 0014, val_loss: 168.442, log_dir: checkpoints/best_model_finetuning/2019-11-02_01:27:09, hparams: HyperParameters(batch_size=256, num_layers=3, dense_units=128, activation='tanh', optimizer='sgd', learning_rate=0.01, l1_reg=0.005, l2_reg=0.0, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=True)
Total epochs: 0019, val_loss: 187.133, log_dir: checkpoints/best_model_finetuning/2019-11-03_19:49:58, hparams: HyperParameters(batch_size=256, num_layers=2, dense_units=128, activation='tanh', optimizer='sgd', learning_rate=0.005, l1_reg=0.01, l2_reg=0.01, num_like_pages=5000, use_dropout=False, dropout_rate=0.1, use_batchnorm=True)
Total epochs: 0097, val_loss: 9.695, log_dir: checkpoints/best_model_finetuning/2019-11-03_19:50:51, hparams: HyperParameters(batch_size=256, num_layers=3, dense_units=64, activation='tanh', optimizer='sgd', learning_rate=0.01, l1_reg=0.005, l2_reg=0.0, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=False)
Total epochs: 0092, val_loss: 14.158, log_dir: checkpoints/best_model_finetuning/2019-11-03_19:52:44, hparams: HyperParameters(batch_size=256, num_layers=3, dense_units=128, activation='tanh', optimizer='sgd', learning_rate=0.01, l1_reg=0.0, l2_reg=0.01, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=False)
Total epochs: 0274, val_loss: 10.091, log_dir: checkpoints/best_model_finetuning/2019-11-03_19:54:32, hparams: HyperParameters(batch_size=256, num_layers=1, dense_units=64, activation='tanh', optimizer='sgd', learning_rate=0.005, l1_reg=0.0, l2_reg=0.01, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=False)
Total epochs: 0023, val_loss: 141.175, log_dir: checkpoints/best_model_finetuning/2019-11-03_19:58:22, hparams: HyperParameters(batch_size=256, num_layers=1, dense_units=64, activation='tanh', optimizer='sgd', learning_rate=0.005, l1_reg=0.005, l2_reg=0.0, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=True)
Total epochs: 0157, val_loss: 8.137, log_dir: checkpoints/best_model_finetuning/2019-11-03_19:59:15, hparams: HyperParameters(batch_size=256, num_layers=1, dense_units=64, activation='tanh', optimizer='sgd', learning_rate=0.01, l1_reg=0.001, l2_reg=0.01, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=False)
Total epochs: 0277, val_loss: 9.681, log_dir: checkpoints/best_model_finetuning/2019-11-03_20:01:52, hparams: HyperParameters(batch_size=256, num_layers=1, dense_units=128, activation='tanh', optimizer='sgd', learning_rate=0.005, l1_reg=0.001, l2_reg=0.005, num_like_pages=5000, use_dropout=False, dropout_rate=0.1, use_batchnorm=False)
Total epochs: 0332, val_loss: 10.044, log_dir: checkpoints/best_model_finetuning/2019-11-03_20:05:53, hparams: HyperParameters(batch_size=256, num_layers=1, dense_units=128, activation='tanh', optimizer='sgd', learning_rate=0.005, l1_reg=0.001, l2_reg=0.0, num_like_pages=5000, use_dropout=False, dropout_rate=0.1, use_batchnorm=False)
Total epochs: 0079, val_loss: 12.242, log_dir: checkpoints/best_model_finetuning/2019-11-03_20:10:35, hparams: HyperParameters(batch_size=256, num_layers=3, dense_units=64, activation='tanh', optimizer='sgd', learning_rate=0.01, l1_reg=0.01, l2_reg=0.0, num_like_pages=5000, use_dropout=False, dropout_rate=0.1, use_batchnorm=False)
Total epochs: 0181, val_loss: 9.830, log_dir: checkpoints/best_model_finetuning/2019-11-03_20:12:09, hparams: HyperParameters(batch_size=256, num_layers=1, dense_units=64, activation='tanh', optimizer='sgd', learning_rate=0.005, l1_reg=0.005, l2_reg=0.001, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=False)
