Total epochs: 0049, val_loss: 9.247, log_dir: checkpoints/slim_models/2019-11-03_20:50:48, hparams: HyperParameters(batch_size=64, num_layers=1, dense_units=64, activation='tanh', optimizer='sgd', learning_rate=0.01, l1_reg=0.005, l2_reg=0.01, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=False)
Total epochs: 0200, val_loss: 9.587, log_dir: checkpoints/slim_models/2019-11-03_20:52:25, hparams: HyperParameters(batch_size=64, num_layers=1, dense_units=64, activation='tanh', optimizer='sgd', learning_rate=0.005, l1_reg=0.01, l2_reg=0.01, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=False)
Total epochs: 0068, val_loss: 8.061, log_dir: checkpoints/slim_models/2019-11-03_20:56:59, hparams: HyperParameters(batch_size=64, num_layers=1, dense_units=32, activation='tanh', optimizer='sgd', learning_rate=0.01, l1_reg=0.005, l2_reg=0.01, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=False)
Total epochs: 0139, val_loss: 8.527, log_dir: checkpoints/slim_models/2019-11-03_20:58:58, hparams: HyperParameters(batch_size=64, num_layers=1, dense_units=32, activation='tanh', optimizer='sgd', learning_rate=0.005, l1_reg=0.01, l2_reg=0.01, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=False)
Total epochs: 0133, val_loss: 7.832, log_dir: checkpoints/slim_models/2019-11-03_21:02:19, hparams: HyperParameters(batch_size=64, num_layers=1, dense_units=32, activation='tanh', optimizer='sgd', learning_rate=0.01, l1_reg=0.005, l2_reg=0.005, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=False)
Total epochs: 0031, val_loss: 14.029, log_dir: checkpoints/slim_models/2019-11-03_21:05:27, hparams: HyperParameters(batch_size=64, num_layers=1, dense_units=128, activation='tanh', optimizer='sgd', learning_rate=0.01, l1_reg=0.01, l2_reg=0.005, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=False)
Total epochs: 0125, val_loss: 7.970, log_dir: checkpoints/slim_models/2019-11-03_21:06:43, hparams: HyperParameters(batch_size=64, num_layers=1, dense_units=32, activation='tanh', optimizer='sgd', learning_rate=0.005, l1_reg=0.005, l2_reg=0.005, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=False)
Total epochs: 0113, val_loss: 8.044, log_dir: checkpoints/slim_models/2019-11-03_21:09:52, hparams: HyperParameters(batch_size=64, num_layers=1, dense_units=32, activation='tanh', optimizer='sgd', learning_rate=0.005, l1_reg=0.005, l2_reg=0.01, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=False)
Total epochs: 0100, val_loss: 9.035, log_dir: checkpoints/slim_models/2019-11-03_21:12:44, hparams: HyperParameters(batch_size=64, num_layers=1, dense_units=64, activation='tanh', optimizer='sgd', learning_rate=0.005, l1_reg=0.005, l2_reg=0.005, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=False)
Total epochs: 0144, val_loss: 8.427, log_dir: checkpoints/slim_models/2019-11-03_21:15:22, hparams: HyperParameters(batch_size=64, num_layers=1, dense_units=32, activation='tanh', optimizer='sgd', learning_rate=0.01, l1_reg=0.01, l2_reg=0.01, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=False)
Total epochs: 0110, val_loss: 9.839, log_dir: checkpoints/slim_models/2019-11-03_21:18:56, hparams: HyperParameters(batch_size=64, num_layers=1, dense_units=64, activation='tanh', optimizer='sgd', learning_rate=0.01, l1_reg=0.01, l2_reg=0.01, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=False)
Total epochs: 0113, val_loss: 8.600, log_dir: checkpoints/slim_models/2019-11-03_21:22:15, hparams: HyperParameters(batch_size=64, num_layers=1, dense_units=32, activation='tanh', optimizer='sgd', learning_rate=0.01, l1_reg=0.01, l2_reg=0.005, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=False)
Total epochs: 0022, val_loss: 12.132, log_dir: checkpoints/slim_models/2019-11-03_21:25:08, hparams: HyperParameters(batch_size=64, num_layers=1, dense_units=128, activation='tanh', optimizer='sgd', learning_rate=0.01, l1_reg=0.005, l2_reg=0.01, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=False)
